index,Prompt,Generated Code GPT-2,Generated Code BART,Generated Code Mistral,Actual Code
0,This applet will append Medium bookmarks to a stream in a data.world dataset.,"This applet will append Medium bookmarks to a stream in a data.world dataset.
###
Code:
var title = Trigger.EntryTitle var keyword1 = 'Medium' var keyword2 = 'Business'  var keyword3 = 'Music'  var keyword4 = 'Public'  var keyword5 = 'Publication'  var keyword6 = 'Publication/Publication'  var keyword7 = 'Publication/Publication'  var keyword8 = 'Publication/Publication'  var keyword9 = 'Publication/Publication'  var keyword10 = 'Publication/Public","const pairs = Object.getOwnPropertyNames(Twitter.newTweetByUser.Text).map(prop => prop + ""||"" + pairs[prop]) Datadotworld.append.setPayload(pairs.join(""|||""))","This applet will append Medium bookmarks to a stream in a data.world dataset.
###
var title = (Medium.newBookmarkByYou.Title || """")  var author = (Medium.newBookmarkByYou.Author || """")  var url = (Medium.newBookmarkByYou.Url || """")  var tags = (Medium.newBookmarkByYou.Tags || """")  var createdAt = (Medium.newBookmarkByYou.CreatedAt || """")  var insertInto = 'Medium_Bookmarks'  var createdTS = moment(createdAt).format(""YYYY-MM-DDTHH:mm:ssZ"")  Data.appendToCollection.setPayload(JSON.stringify({Title:title, Author:author, Url:url, Tags:tags, CreatedAt:createdTS}))  Data.appendToCollection.setVariable(`Collection`, Insert.toCollectionLink(Insert.intoCollection(Insert.intoDataspace.getDataspaceID(`@data.world`), Insert.intoDataSet.setDatasetName(Insert.intoDataspace.getDataspaceID(`@data.world`), Insert.intoDataSet.setDataSetName(Insert.intoDataspace.getDataspaceID(`@data.world`), Insert.intoDataSet.setDataSetDescription(`A stream of Medium bookmarks appended by @meddiesapp`), Insert.intoCollection.setCollectionName(Insert.intoDataspace.getDataspaceID(`,`), Insert.intoDataspace.getDataspaceID(`,`), Insert.intoCollection.setCollectionDescription(`A stream of Medium bookmarks appended by @meddiesapp`), Insert.intoCollection.setCollectionPublic(true), Insert.intoCollection.setAutoCollect(false), Insert.intoCollection.setAutoPost(false), Insert.intoCollection.setAutoUpdate(true))))  Data.appendToCollection.setVariable(`InsertInto`, InsertInto)  Data.appendToCollection.append()","const bookmark = (Medium.postBookmarkedByYou as any) const pairs = Object.getOwnPropertyNames(bookmark).map(prop => prop + ""||"" + bookmark[prop]) Datadotworld.append.setPayload(pairs.join(""|||""))"
1,"If Netatmo weather station reports rain amount for yesterday exceeding 5mm (0.2inch), do not water my yard for today.","If Netatmo weather station reports rain amount for yesterday exceeding 5mm (0.2inch), do not water my yard for today.
###
Code:
if (Netatmo.rainYesterdayAmount.MeasuredRainfallMM) {   Netro.noWater.skip() } else {   Netro.noWater.setAmount(Netro.rainYesterdayAmount.MeasuredRainfallMM) }  } else {   Netro.noWater.skip() }  }   if (Netro.noWater.length > 5) {   Netro.noWater",if(parseFloat(Netatmo.rainYesterdayAmount.MeasuredRainfallMM)<5){   Netro.noWater.skip() },"If Netatmo weather station reports rain amount for yesterday exceeding 5mm (0.2inch), do not water my yard for today.
###
var amount = Netatmo.rainamountYesterday.replace(/[^\d\.\-]/g, '') amount = parseFloat(amount) if (amount < 5.0) {    WyzeIrrigate.skip  } else {    WyzeIrrigate.setWateringTime  }",if(parseFloat(Netatmo.rainYesterdayAmount.MeasuredRainfallMM)<5){   Netro.noWater.skip() }
2,"When a specific user posts a tweet that has a URL in it, this Applet will save that URL to Pocket with the ""IFTTT"" tag.","When a specific user posts a tweet that has a URL in it, this Applet will save that URL to Pocket with the ""IFTTT"" tag.
###
Code:
var tweet = Twitter.newTweetByUser.Text;  var url = 'https: //www.googleapis.com/p/IFTTT/v1/embed/5.0.png';  var match = tweet.match(url);  if (match) {  Pocket.readItLater.setUrl(match[0]); } else {  Pocket.readItLater.skip(""Not Pocket related",var tweet = Twitter.newTweetByUser.Text; var regex = /https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+.~#?&  var match = tweet.match(regex);  if (match) {   Pocket.readItLater.setUrl(match[0]); } else {  },"When a specific user posts a tweet that has a URL in it, this Applet will save that URL to Pocket with the ""IFTTT"" tag.
###
var url = Twit.newTweetByUser.Entities.Url[0].ExpandedUrl if (url) {    Pocket.readItLater.setUrl(url.Link); } else {    Pocket.readItLater.skip(); }","var tweet = Twitter.newTweetByUser.Text;  var regex = /https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&  var match = tweet.match(regex);  if (match) {   Pocket.readItLater.setUrl(match[0]); } else {   Pocket.readItLater.skip(""No URL""); }"
3,"When tomorrow's forecast has a low temperature of 40F to 50F, add an all-day calendar event mentioning which drawer to get dressed from.","When tomorrow's forecast has a low temperature of 40F to 50F, add an all-day calendar event mentioning which drawer to get dressed from.
###
Code:
var hour = Meta.triggerTime.hour()    if (hour < 40 || hour > 50) {      IfNotifications.sendNotification.skip(""Too late"") }    else {      IfNotifications.sendNotification.skip(""Not dressed"") }     else {      IfNotifications.sendNotification.skip(""Not dressed"") }",if (parseInt(Weather.tomorrowsWeatherAtTime.LowTempFahrenheit) > 50) {   GoogleCalendar.addDetailedEvent.skip(); },"When tomorrow's forecast has a low temperature of 40F to 50F, add an all-day calendar event mentioning which drawer to get dressed from.
###
var Hour = Meta.currentUserTime.hour()  var TimeHour = 24  if(Hour%TimeHour > 0 && Hour%TimeHour <= 12) {    GoogleCalendar.addDetailedEvent.skip(""Too early"")  }  else if(Hour%TimeHour > 12 && Hour%TimeHour <= 23) {    GoogleCalendar.addDetailedEvent.skip(""Too late"")  }  else {    GoogleCalendar.addDetailedEvent.setDetailedDescription(""Drawer: Warm"")    if(Hour%2 == 0) {      GoogleCalendar.addDetailedEvent.setStartTime(new Date(parseInt(Meta.currentUserTime.format(""YYYY-MM-DD""), 10) +"" ""+ ((Hour/2)+1) +"":00"", 10))    }    else {      GoogleCalendar.addDetailedEvent.setStartTime(new Date(parseInt(Meta.currentUserTime.format(""YYYY-MM-DD""), 10) +"" ""+ ((Hour/2)+2) +"":00"", 10))    }  }    GoogleCalendar.addDetailedEvent.setEndTime(new Date(parseInt(Meta.currentUserTime.format(""YYYY-MM-DD""), 10) +"" ""+ ((Hour/2)+3) +"":00"", 10))  }    GoogleCalendar.addDetailedEvent.setLocation(""Getting dressed from"")  }  else {    GoogleCalendar.addDetailedEvent.skip(""Not cold enough"")  }  ###",if (parseInt(Weather.tomorrowsWeatherAtTime.LowTempFahrenheit) < 40) {   GoogleCalendar.addDetailedEvent.skip(); }  if (parseInt(Weather.tomorrowsWeatherAtTime.LowTempFahrenheit) > 50) {   GoogleCalendar.addDetailedEvent.skip(); }
4,Set a Yeelight Scene on exiting an area between 6am and 6pm (06:00 - 17:59),"Set a Yeelight Scene on exiting an area between 6am and 6pm (06:00 - 17:59)
###
Code:
if (Meta.currentUserTime.hour() >= 18 || Meta.currentUserTime.hour() < 6) {   Yeelight.setScene.skip(""Outside of commuting hours"") } else {  Yeelight.setScene.skip(""Not a weekday"") } }  if (Meta.currentUserTime.hour() >= 19 || Meta.currentUserTime.hour() < 6) {   Yeelight.setScene.skip(""Not working hours"")",if (Meta.currentUserTime.hour() >= 18 || Meta.currentTime.minute() < 6) {   Yeelight.setScene.skip('Too Late'); },"Set a Yeelight Scene on exiting an area between 6am and 6pm (06:00 - 17:59)
###
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 18 || timeOfDay < 6) {   YeelightScene.createScene.skip()  } else {   YeelightScene.createScene.setSkip()  }",if (Meta.currentUserTime.hour() >= 18 || Meta.currentUserTime.hour() < 6) {   Yeelight.setScene.skip('Too Late'); }
5,If Boundary Alarm is disarmed and it is nighttime turn on chosen Philips Hue lights (e.g. entry route lights),"If Boundary Alarm is disarmed and it is nighttime turn on chosen Philips Hue lights (e.g. entry route lights)
###
Code:
var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay >= 22 || timeOfDay < 8 ) {   Hue.turnOnAllHue.skip()  } else {     Hue.turnOnAllHue.setBrightnessAllHue.skip()  }               Hue.turnOnAllHue.setBrightnessAll",var timeOfDay = Meta.currentUserTime.hour();  if (timeOfDay >= 7 && timeOfNight < 19) {   Hue.turnOnAllHue.skip() },"If Boundary Alarm is disarmed and it is nighttime turn on chosen Philips Hue lights (e.g. entry route lights) in an attempt to deter potential intruders.
###
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay > 7 && timeOfDay < 19) {    Hue.turnOnAllHue.skip(""Too late to turn on lights."")  } else {    Hue.turnOnAllHue.skip(""Too early to turn on lights."")  }","var season = Meta.currentUserTime.month();  var sunrises = [ 9,  8,  7,  7,  6,  5,  5,  6,  7,  8,  8,  9 ]; var sunsets  = [ 15, 16, 17, 19, 20, 21, 21, 20, 19, 18, 16, 15 ];  var hour = Meta.currentUserTime.hour();   if (hour >= sunrises[season] && hour <= sunsets[season]) {   Hue.turnOnAllHue.skip(); }"
6,"Which ever color tier your latest Super Chat message is, your Hue lights will change to match that color!","Which ever color tier your latest Super Chat message is, your Hue lights will change to match that color!
###
Code:
let color = Meta.currentUserTime.locale('en').toLowerCase()  if (color == 0) {   Hue.setBrightnessAllHue.skip() } else {   Hue.setBrightnessAllHue.setColorAllHue.skip() }    if (color == 1) {   Hue.setBrightnessAllHue.skip() } else {   Hue.setBrightnessAllHue.setColor","if (Youtube.newSuperchat.ColorTier == ""Light blue"") {   Hue.setColorAllHue.setBrightness(""#0092ff"") }","Which ever color tier your latest Super Chat message is, your Hue lights will change to match that color!
###
if (Youtube.newSuperchat.ColorTier == ""Blue"") { Hue.setColorAllHue.setColor(""#0000FF"") } else if (Youtube.newSuperchat.ColorTier == ""Silver"") { Hue.setColorAllHue.setColor(""#C0C0C0"") } else if (Youtube.newSuperchat.ColorTier == ""Gold"") { Hue.setColorAllHue.setColor(""#FFD700"") } else if (Youtube.newSuperchat.ColorTier == ""Red"") { Hue.setColorAllHue.setColor(""#FF0000"") } else if (Youtube.newSuperchat.ColorTier == ""Emerald"") { Hue.setColorAllHue.setColor(""#228B22"") } else if (Youtube.newSuperchat.ColorTier == ""Ruby"") { Hue.setColorAllHue.setColor(""#FF4154"") } else if (Youtube.newSuperchat.ColorTier == ""Sapphire"") { Hue.setColorAllHue.setColor(""#4159E1"") } else if (Youtube.newSuperchat.ColorTier == ""Emerald (2)"") { Hue.setColorAllHue.setColor(""#00FF00"") } else if (Youtube.newSuperchat.ColorTier == ""Aquamarine"") { Hue.setColorAllHue.setColor(""#7FFFD4"") } else if (Youtube.newSuperchat.ColorTier == ""Amethyst"") { Hue.setColorAllHue.setColor(""#9400FD"") } else if (Youtube.newSuperchat.ColorTier == ""Pink"") { Hue.setColorAllHue.setColor(""#FFC0CB"") } else { Hue.setColorAllHue.setColor(""#000000"") } } else { Hue.setColorAllHue.setColor(""#000000"") } }","if (Youtube.newSuperchat.ColorTier == ""Light blue"")   {Hue.setColorAllHue.setColor(""#0092ff"")} if (Youtube.newSuperchat.ColorTier == ""Blue"")   {Hue.setColorAllHue.setColor(""#4148b2"")}"
7,Send an SMS message when the Link collar is charged.,"Send an SMS message when the Link collar is charged.
###
Code:
var minute = Meta.triggerTime.minute()  var minuteString = minute.toString()  var runday = Meta.triggerTime.day()     if(minute%30 > 0 && minute%10 > 0 )     Sms.sendMeText.skip()         Sms.sendMeText.setMessage( ""Link collar charged!"" )       Sms.sendMeText.setMessage( ""Link collar charged!"" ) ",var minute = Meta.triggerTime.minute()  var minuteString = minute.toString()   var runday = new Date(LinkMyPet.collarInfo.CreatedAt).getDay()  if(minute%30 > 0 && minute%15 > 0 )   Sms.sendMeText.skip(),"Send an SMS message when the Link collar is charged.
###
var minute = Meta.triggerTime.minute()  var minuteString = minute.toString()  var hour = Meta.triggerTime.hour()  var day = Meta.triggerTime.day()  var month = Meta.triggerTime.month()  var year = Meta.triggerTime.year()  var datetime = year + ""-"" + month + ""-"" + day + "" "" + hour + "":"" + minuteString  Datadotw.sendMessage.setMessage(""Link collar charged at "" + datetime)  Datadotw.sendMessage.appendToExistingMessage("""")
###","var minute = Meta.triggerTime.minute()  var minuteString = minute.toString()  var runday = Meta.triggerTime.day()  var currentdate = new Date(LinkMyPet.collarInfo.CreatedAt).getDay()    var batteryAmount =  parseInt(LinkMyPet.collarInfo.Battery, 10);  if(minute%30 > 0 && batteryAmount < 100 || (currentdate != runday) )    Sms.sendMeText.skip()"
8,"We have your date night planned ahead of time, just tell us where and what day works for you! Impress your significant other every week with a new plan.","We have your date night planned ahead of time, just tell us where and what day works for you! Impress your significant other every week with a new plan.
###
Code:
var Hour = Meta.triggerTime.hour()    if (Hour < 17 || Hour > 19) {     ImpressMe.sendMeEmail.skip(""Too late"") }    if (Hour < 17 || Hour > 19) {     ImpressMe.sendMeEmail.skip(""Not Late"") }    if (Hour < 17 || Hour > 19) { ",let optionOne = Math.floor((Math.random() * Trakt.recommendedMovies.length)) Email.sendMeEmail.setSubject(`It's night date night!`),"We have your date night planned ahead of time, just tell us where and what day works for you! Impress your significant other every week with a new plan.
###
var options = [  ""Go to a movie"",  ""Try a new restaurant"",  ""Attend a comedy club or open mic"",  ""Have a picnic in the park"",  ""Go for a hike"",  ""Take dance lessons"",  ""Visit a museum"",  ""Stay in and rent a movie""  ]  var option = options[Math.floor(Math.random()*options.length)]  var weekdays = [""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""]  var day = weekdays[Math.floor(Math.random()*weekdays.length)]  var date = Meta.triggerTime.format('MM-DD')  var message = ""Here are some ideas for our date night this week: \n"" + option  Meta.message.setMessage(message)  if (day == ""Sunday"") {    Meta.message.append(""On "" + day)    }  else if (day == ""Monday"") {    Meta.message.append(""On "" + day)    }  else if (day == ""Tuesday"") {    Meta.message.append(""On "" + day)    }  else if (day == ""Wednesday"") {    Meta.message.append(""On "" + day)    }  else if (day == ""Thursday"") {    Meta.message.append(""On "" + day)    }  else if (day == ""Friday"") {    Meta.message.append(""On "" + day)    }  else if (day == ""Saturday"") {    Meta.message.append(""On "" + day)    }  else if (day == ""Saturday"") {    Meta.message.append(""On "" + day)    }  else {    Meta.message.append(""On "" + day)  }  Meta.message.append("":\n"" + date)    Meta.message.append(""\nI'll leave the reservation up to you, but here's the plan:"")  var url = option.match(/Go to a movie/i)  if (url) {   ","let optionOne = Math.floor((Math.random() * Trakt.recommendedMovies.length)) let optionTwo = Math.floor((Math.random() * Yelp.searchBusiness.length)) Email.sendMeEmail.setSubject(`It's night date night!`) Email.sendMeEmail.setBody(`Tonight you should watch ${Trakt.recommendedMovies[optionOne].MovieTitle}, and order dinner from ${Yelp.searchBusiness[optionTwo].BusinessName}! `)"
9,This applet will save 1p for every 10 metres you cycle or run using Strava.,"This applet will save 1p for every 10 metres you cycle or run using Strava.
###
Code:
var distance = Math.floor((Math.random() * distance/1000)) var amount = distance/1000; Monzo.potDeposit.setAmount(amount.toFixed(2)); Monzo.potDeposit.setAmount(amount.toFixed(5)); Monzo.potDeposit.setAmount(amount.toFixed(10)); Monzo.potDeposit.setAmount(amount.toFixed(15)); Monzo.potDeposit.setAmount(amount",var distance = parseInt(Strava.newActivityByYou.DistanceMeters); var amount = distance/1000; Monzo.potDeposit.setAmount(amount.toFixed(2));,"This applet will save 1p for every 10 metres you cycle or run using Strava.
###
var distMeters = parseInt(Strava.newActivityByYou.DistanceMeters);  if (distMeters % 100 > 0) {   Monzo.potDeposit.setAmount(distMeters/1000.0);  Monzo.potDeposit.setTags(""Strava""); } else {   Monzo.potDeposit.skip(""Distance round number required""); } Monzo.potDeposit.setNote(""Strava: "" + Strava.newActivityByYou.Sport + "" for "" + Math.round(distMeters/1000.0) + "" km on "" + Strava.newActivityByYou.StartDatetime.format('dddd') + "" "" + Strava.newActivityByYou.StartDatetime.format('MMMM') + "" "" + Strava.newActivityByYou.StartDatetime.format('DO') + "" "" + Strava.newActivityByYou.StartDatetime.format('YYYY') + "" (https://www.strava.com/activities/"" + Strava.newActivityByYou.Id + "")"");",var distance = parseInt(Strava.newActivityByYou.DistanceMeters); var amount = distance/1000; Monzo.potDeposit.setAmount(amount.toFixed(2));
